"","Pred","Coef","low","high","p_value","sig","n"
"1","sc.Caprimulgiformes",0.0581757555122006,-0.581451606071658,0.697803117096059,0.990625562956176,FALSE,NA
"2","sc.Galliformes",0.115255654904952,-0.649575943017983,0.880087252827887,0.859931925426963,FALSE,NA
"3","sc.Accipitriformes",0.0137527903591466,-0.8449098703547,0.872415451072993,0.894084606515221,FALSE,NA
"4","sc.Bucerotiformes",0.215605413841021,-2.87542552684361,3.30663635452565,0.917606297561842,FALSE,NA
"5","sc.Coraciiformes",0.00817196912631686,-1.46098332235612,1.47732726060875,0.936794640931461,FALSE,NA
"6","sc.Charadriiformes",0.0915439919276816,-0.648203643351161,0.831291627206525,0.917481664688097,FALSE,NA
"7","sc.Podicipediformes",0.129578850106281,-6.73074112386095,6.98989882407351,0.983997560764601,FALSE,NA
"8","sc.Strigiformes",-0.536075270536111,-1.84634426324013,0.774193722167908,0.307876990329981,FALSE,NA
"9","sc.Pelecaniformes",0.258585383844594,-1.74197161749258,2.25914238518177,0.833153054565656,FALSE,NA
"10","sc.Psittaciformes",0.203682976517586,-0.52367515258678,0.931041105621953,0.620564020293678,FALSE,NA
"11","sc.Anseriformes",-0.112476385412416,-1.01405667042344,0.789103899598606,0.64537733352594,FALSE,NA
"12","sc.Columbiformes",0.274335780971683,-0.631453125160623,1.18012468710399,0.57376394277904,FALSE,NA
"13","sc.Gruiformes",-0.0319266788604083,-1.51113986258554,1.44728650486473,0.889936193524763,FALSE,NA
"14","sc.Ciconiiformes",0.562876217337871,-5.79159772301874,6.91735015769449,0.873789240340717,FALSE,NA
"15","sc.Piciformes",0.239902233673721,-0.600800462312091,1.08060492965953,0.605165446979602,FALSE,NA
"16","sc.Suliformes",0.392400406006915,-1.48923106987635,2.27403188189018,0.705579797102332,FALSE,NA
"17","sc.Trogoniformes",0.267977574160976,-2.44969528032175,2.9856504286437,0.8738744856703,FALSE,NA
"18","sc.Sphenisciformes",0.180113658142672,-3.53277617159294,3.89300348787828,0.947587682654512,FALSE,NA
"19","sc.Struthioniformes",0.810742669749797,-1.8391459439861,3.4606312834857,0.554692094836084,FALSE,NA
"20","sc.Otidiformes",0.30292205546782,-5.24615817074554,5.85200228168118,0.929866941400237,FALSE,NA
"21","sc.Procellariiformes",0.756005910287848,-0.411894314849334,1.92390613542503,0.175466875754587,FALSE,NA
"22","sc.Cuculiformes",0.264864535641082,-1.56750493603638,2.09723400731855,0.81091286945744,FALSE,NA
"23","sc.Falconiformes",-0.0861441968316188,-1.45010979919871,1.27782140553548,0.810243417371975,FALSE,NA
"24","sc.Cathartiformes",-0.776483611635198,-18.834754695564,17.2817874722936,0.926917561617404,FALSE,NA
"25","sc.Coliiformes",-0.141774341450719,-18.5443982240801,18.2608495411787,0.982613826049235,FALSE,NA
"26","sc.Musophagiformes",-0.686852433875113,-7.2562955359268,5.88259066817658,0.819035986758893,FALSE,NA
"27","sc.Gaviiformes",-1.88425147739175,-9.18509409865725,5.41659114387376,0.593270866383992,FALSE,NA
"28","sc.Mesitornithiformes",-0.353128504843463,-26.4980478013369,25.79179079165,0.975077100297771,FALSE,NA
"29","sc.Phaethontiformes",-1.53008988012641,-30.644946319559,27.5847665593062,0.914225616440208,FALSE,NA
"30","sc.Phoenicopteriformes",-0.121649894502628,-7.24196797375852,6.99866818475326,0.958958719578595,FALSE,NA
"31","sc.Pterocliformes",-0.547495446743861,-6.67546088001788,5.58046998653016,0.8415342071696,FALSE,NA
"32","Passeriformes",0.0610353470614178,-0.101586501673246,0.223657195796082,0.461986551410097,FALSE,4660
